iter	Passed	Remaining
1074	31955	23780
1075	31985	23751
1076	32015	23721
1077	32046	23693
1078	32076	23663
1079	32105	23632
1080	32134	23602
1081	32162	23572
1082	32191	23541
1083	32221	23512
1084	32250	23482
1085	32280	23452
1086	32309	23421
1087	32338	23392
1088	32368	23362
1089	32396	23331
1090	32425	23301
1091	32454	23270
1092	32484	23241
1093	32514	23211
1094	32543	23181
1095	32572	23151
1096	32602	23121
1097	32632	23092
1098	32660	23061
1099	32688	23030
1100	32717	22999
1101	32746	22970
1102	32775	22939
1103	32804	22909
1104	32833	22879
1105	32865	22851
1106	32894	22821
1107	32922	22790
1108	32951	22760
1109	32982	22730
1110	33011	22700
1111	33040	22670
1112	33070	22641
1113	33100	22611
1114	33129	22581
1115	33158	22551
1116	33190	22523
1117	33220	22493
1118	33250	22464
1119	33279	22434
1120	33309	22404
1121	33337	22373
1122	33366	22343
1123	33398	22315
1124	33429	22286
1125	33458	22255
1126	33489	22227
1127	33519	22197
1128	33548	22167
1129	33578	22137
1130	33607	22107
1131	33635	22077
1132	33665	22047
1133	33693	22016
1134	33722	21986
1135	33751	21956
1136	33779	21925
1137	33809	21896
1138	33839	21866
1139	33868	21836
1140	33897	21806
1141	33928	21777
1142	33957	21746
1143	33984	21715
1144	34014	21686
1145	34043	21656
1146	34072	21625
1147	34102	21596
1148	34132	21566
1149	34161	21536
1150	34191	21507
1151	34221	21477
1152	34251	21447
1153	34279	21417
1154	34309	21387
1155	34339	21358
1156	34369	21328
1157	34398	21298
1158	34428	21269
1159	34458	21239
1160	34487	21209
1161	34516	21179
1162	34545	21149
1163	34576	21120
1164	34605	21090
1165	34635	21060
1166	34664	21030
1167	34692	20999
1168	34721	20969
1169	34750	20939
1170	34779	20909
1171	34808	20879
1172	34839	20849
1173	34867	20819
1174	34895	20788
1175	34924	20758
1176	34954	20728
1177	34985	20700
1178	35014	20670
1179	35043	20640
1180	35073	20610
1181	35103	20580
1182	35132	20551
1183	35162	20521
1184	35192	20491
1185	35222	20462
1186	35253	20433
1187	35282	20403
1188	35311	20372
1189	35340	20343
1190	35370	20313
1191	35400	20284
1192	35429	20254
1193	35459	20224
1194	35488	20194
1195	35553	20184
1196	35592	20160
1197	35621	20130
1198	35650	20099
1199	35679	20069
1200	35708	20039
1201	35735	20008
1202	35765	19978
1203	35793	19948
1204	35823	19918
1205	35853	19888
1206	35881	19858
1207	35910	19828
1208	35939	19797
1209	35968	19767
1210	35997	19737
1211	36028	19708
1212	36057	19678
1213	36088	19649
1214	36117	19619
1215	36146	19589
1216	36173	19558
1217	36202	19528
1218	36230	19497
1219	36259	19467
1220	36290	19437
1221	36319	19408
1222	36349	19378
1223	36378	19348
1224	36407	19318
1225	36436	19288
1226	36464	19257
1227	36494	19227
1228	36523	19198
1229	36553	19168
1230	36583	19138
1231	36612	19108
1232	36641	19078
1233	36669	19048
1234	36699	19018
1235	36730	18989
1236	36760	18959
1237	36789	18929
1238	36818	18899
1239	36847	18869
1240	36876	18839
1241	36904	18808
1242	36934	18779
1243	36965	18750
1244	37001	18723
1245	37032	18694
1246	37062	18665
1247	37092	18635
1248	37121	18605
1249	37150	18575
1250	37179	18545
1251	37208	18515
1252	37237	18485
1253	37267	18455
1254	37296	18425
1255	37324	18394
1256	37352	18364
1257	37381	18334
1258	37410	18304
1259	37439	18274
1260	37469	18244
1261	37499	18214
1262	37529	18185
1263	37559	18155
1264	37587	18125
1265	37618	18095
1266	37647	18066
1267	37678	18036
1268	37708	18007
1269	37738	17977
1270	37765	17946
1271	37794	17916
1272	37823	17886
1273	37852	17856
1274	37882	17827
1275	37911	17796
1276	37939	17766
1277	37969	17736
1278	37998	17706
1279	38027	17676
1280	38056	17646
1281	38086	17617
1282	38117	17587
1283	38146	17557
1284	38174	17527
1285	38203	17497
1286	38231	17467
1287	38260	17437
1288	38289	17407
1289	38318	17376
1290	38349	17347
1291	38377	17317
1292	38407	17287
1293	38434	17256
1294	38464	17227
1295	38492	17197
1296	38521	17166
1297	38550	17136
1298	38579	17106
1299	38607	17076
1300	38637	17046
1301	38667	17017
1302	38697	16987
1303	38725	16957
1304	38753	16926
1305	38783	16897
1306	38814	16868
1307	38843	16838
1308	38871	16807
1309	38900	16777
1310	38930	16748
1311	38958	16717
1312	38988	16687
1313	39017	16658
1314	39046	16628
1315	39075	16598
1316	39105	16568
1317	39134	16538
1318	39163	16508
1319	39193	16478
1320	39222	16448
1321	39251	16418
1322	39280	16389
1323	39309	16359
1324	39339	16329
1325	39368	16299
1326	39396	16269
1327	39425	16239
1328	39454	16209
1329	39484	16179
1330	39513	16149
1331	39543	16120
1332	39571	16089
1333	39599	16059
1334	39629	16029
1335	39659	16000
1336	39689	15970
1337	39720	15941
1338	39748	15911
1339	39778	15881
1340	39821	15857
1341	39849	15827
1342	39879	15797
1343	39909	15767
1344	39939	15738
1345	39968	15708
1346	39997	15678
1347	40027	15648
1348	40056	15618
1349	40085	15588
1350	40115	15559
1351	40144	15529
1352	40173	15499
1353	40202	15469
1354	40231	15439
1355	40260	15409
1356	40290	15379
1357	40318	15349
1358	40346	15319
1359	40375	15289
1360	40404	15259
1361	40433	15229
1362	40462	15199
1363	40491	15169
1364	40521	15139
1365	40549	15109
1366	40578	15079
1367	40610	15050
1368	40639	15021
1369	40668	14991
1370	40698	14961
1371	40727	14931
1372	40756	14901
1373	40786	14871
1374	40815	14841
1375	40844	14812
1376	40873	14782
1377	40903	14752
1378	40935	14723
1379	40965	14694
1380	40994	14664
1381	41024	14634
1382	41054	14605
1383	41084	14575
1384	41113	14545
1385	41142	14515
1386	41171	14485
1387	41203	14456
1388	41232	14426
1389	41263	14397
1390	41293	14368
1391	41321	14337
1392	41351	14308
1393	41380	14278
1394	41408	14248
1395	41438	14218
1396	41466	14188
1397	41495	14158
1398	41524	14128
1399	41553	14098
1400	41583	14068
1401	41613	14039
1402	41643	14009
1403	41672	13979
1404	41702	13950
1405	41731	13920
1406	41760	13890
1407	41790	13860
1408	41821	13831
1409	41850	13801
1410	41878	13771
1411	41907	13741
1412	41936	13711
1413	41965	13681
1414	41994	13651
1415	42024	13622
1416	42052	13592
1417	42082	13562
1418	42112	13533
1419	42140	13502
1420	42169	13473
1421	42203	13444
1422	42232	13414
1423	42263	13385
1424	42291	13355
1425	42320	13325
1426	42349	13295
1427	42380	13266
1428	42410	13236
1429	42437	13206
1430	42467	13176
1431	42496	13146
1432	42526	13117
